id,name,picture,permalink,total_items_in_this_category,path_from_root,children_categories,attribute_types,meta_categ_id,attributable,date_created,settings.adult_content,settings.buying_allowed,settings.buying_modes,settings.catalog_domain,settings.coverage_areas,settings.currencies,settings.fragile,settings.immediate_payment,settings.item_conditions,settings.items_reviews_allowed,settings.listing_allowed,settings.max_description_length,settings.max_pictures_per_item,settings.max_pictures_per_item_var,settings.max_sub_title_length,settings.max_title_length,settings.maximum_price,settings.minimum_price,settings.mirror_category,settings.mirror_master_category,settings.mirror_slave_categories,settings.price,settings.reservation_allowed,settings.restrictions,settings.rounded_address,settings.seller_contact,settings.shipping_modes,settings.shipping_options,settings.shipping_profile,settings.show_contact_information,settings.simple_shipping,settings.stock,settings.sub_vertical,settings.subscribable,settings.tags,settings.vertical,settings.vip_subdomain,settings.buyer_protection_programs,settings.status
MLA109282,"Pantalones, Jeans y Joggings",http://resources.mlstatic.com/category/images/36ce8879-836c-46d1-8151-3ee8c4532760.png,,84580,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA109282', 'name': 'Pantalones, Jeans y Joggings'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-PANTS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['me1', 'me2', 'custom', 'not_specified']","['custom', 'carrier']",optional,False,optional,required,clothes,False,['groupby'],apparel,articulo,"['delivered', 'undelivered']",enabled
MLA109085,Buzos y Hoodies,http://resources.mlstatic.com/category/images/1e5072a0-769a-46e8-8258-5778eb2b1e95.png,,39297,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA109085', 'name': 'Buzos y Hoodies'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-SWEATSHIRTS_AND_HOODIES,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'me1', 'me2', 'custom']","['custom', 'carrier']",optional,False,optional,required,clothes,False,[],apparel,articulo,"['delivered', 'undelivered']",enabled
MLA445787,Tapabocas Reutilizables,,,3305,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA3114', 'name': 'Accesorios de Moda'}, {'id': 'MLA445787', 'name': 'Tapabocas Reutilizables'}]",[],variations,,False,2020-06-09T17:56:30.255Z,False,True,"['auction', 'buy_it_now']",MLA-REUSABLE_MASKS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,MLA445788,MLA445788,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'custom']","['custom', 'carrier']",optional,False,optional,required,fashion_accesories,False,[],books,articulo,[],enabled
MLA445788,Tapabocas Reutilizables,,,9052,"[{'id': 'MLA409431', 'name': 'Salud y Equipamiento Médico'}, {'id': 'MLA5395', 'name': 'Cuidado de la Salud'}, {'id': 'MLA445788', 'name': 'Tapabocas Reutilizables'}]",[],variations,,False,2020-06-09T17:56:30.531Z,False,True,"['buy_it_now', 'auction']",MLA-REUSABLE_MASKS,not_allowed,['ARS'],False,required,"['not_specified', 'new', 'used']",False,True,50000,12,10,70,60,,33,MLA445787,,['MLA445787'],required,not_allowed,[],False,not_allowed,"['not_specified', 'custom']","['carrier', 'custom']",optional,False,optional,required,health_beauty,False,[],apparel,articulo,[],enabled
MLA109279,Medias,,,16689,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA109278', 'name': 'Ropa Interior y de Dormir'}, {'id': 'MLA3110', 'name': 'Ropa  Interior'}, {'id': 'MLA417671', 'name': 'Medias y Panties'}, {'id': 'MLA109279', 'name': 'Medias'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-SOCKS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['custom', 'not_specified', 'me2', 'me1']","['custom', 'carrier']",optional,False,optional,required,clothes,False,[],books,articulo,[],enabled
MLA95482,Ambos Médicos,http://resources.mlstatic.com/category/images/172b048d-d022-45c1-83f9-68bc572b418e.png,,3738,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA12554', 'name': 'Uniformes y Ropa de Trabajo'}, {'id': 'MLA95482', 'name': 'Ambos Médicos'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-WORK_SCRUBS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,MLA95490,,['MLA95490'],required,not_allowed,[],False,not_allowed,"['me1', 'me2', 'not_specified', 'custom']","['custom', 'carrier']",optional,False,optional,required,clothes,False,[],apparel,articulo,"['delivered', 'undelivered']",enabled
MLA417371,Remeras y Chombas,,,8397,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA6839', 'name': 'Ropa Deportiva'}, {'id': 'MLA417371', 'name': 'Remeras y Chombas'}]",[],variations,,False,2018-08-09T15:39:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-SPORT_T_SHIRTS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,MLA417439,,['MLA417439'],required,not_allowed,[],False,not_allowed,"['me2', 'me1', 'custom', 'not_specified']","['custom', 'carrier']",optional,False,optional,required,sportswear,False,[],apparel,articulo,"['delivered', 'undelivered']",enabled
MLA416005,Sandalias y Ojotas,,,69854,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA109026', 'name': 'Calzado'}, {'id': 'MLA416005', 'name': 'Sandalias y Ojotas'}]",[],variations,,False,2018-05-28T16:29:07.000Z,False,True,"['auction', 'buy_it_now']",MLA-SANDALS_AND_FLIP_FLOPS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'me1', 'me2', 'custom']","['custom', 'carrier']",optional,False,optional,required,shoes,False,[],apparel,articulo,"['delivered', 'undelivered']",enabled
MLA417367,Calzas,,,6568,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA6839', 'name': 'Ropa Deportiva'}, {'id': 'MLA417367', 'name': 'Calzas'}]",[],variations,,False,2018-08-09T15:39:55.000Z,False,True,"['auction', 'buy_it_now']",MLA-LEGGINGS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,MLA417403,,['MLA417403'],required,not_allowed,[],False,not_allowed,"['me2', 'me1', 'custom', 'not_specified']","['custom', 'carrier']",optional,False,optional,required,sportswear,False,[],apparel,articulo,"['delivered', 'undelivered']",enabled
MLA417128,Anteojos de Sol,,,27033,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA3114', 'name': 'Accesorios de Moda'}, {'id': 'MLA3959', 'name': 'Anteojos y Accesorios'}, {'id': 'MLA417128', 'name': 'Anteojos de Sol'}]",[],variations,,False,2018-07-10T13:07:30.000Z,False,True,"['auction', 'buy_it_now']",MLA-SUNGLASSES,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'me1', 'me2', 'custom']","['custom', 'carrier']",optional,False,optional,required,fashion_accesories,False,[],books,articulo,"['delivered', 'undelivered']",enabled
