initial_quantity,location_0,shipping_6,available_quantity,seller_cancellations_rate,seller_sales_completed,catalog_listing,seller_transactions_canceled,location_4,shipping_local_pick_up,original_price,base_price,health,seller_cancellations_value,seller_address,eshop_seller,seller_id,shipping_3,seller_transactions_completed,eshop_id,seller_transactions_total,eshop_1,order_backend,installments_amount,category_2,sales_potential_1,revenue_potential_1,sales_rate_1,influence_zone_1,efectiveness_1,revenue_1,reputation_1,sales_potential_2,revenue_potential_2,sales_rate_2,influence_zone_2,efectiveness_2,revenue_2,reputation_2,sales_potential_3,revenue_potential_3,sales_rate_3,influence_zone_3,efectiveness_3,revenue_3,reputation_3,sales_potential_4,revenue_potential_4,sales_rate_4,influence_zone_4,efectiveness_4,revenue_4,reputation_4,sales_potential_5,revenue_potential_5,sales_rate_5,influence_zone_5,efectiveness_5,revenue_5,reputation_5,initial_quantity_category_2,available_quantity_category_2,original_price_category_2,health_category_2,seller_cancellations_rate_category_2,initial_quantity_location_0,available_quantity_location_0,original_price_location_0,health_location_0,seller_cancellations_rate_location_0,initial_quantity_category_2_comparative,available_quantity_category_2_comparative,original_price_category_2_comparative,health_category_2_comparative,seller_cancellations_rate_category_2_comparative,initial_quantity_location_0_comparative,available_quantity_location_0_comparative,original_price_location_0_comparative,health_location_0_comparative,seller_cancellations_rate_location_0_comparative,sold_quantity
500,1,1600.0,250,0.0063,462796921,False,4,612,0,1942,True,46,0,1060505865,2016,74,241992.08632138115,0.66,1600.0,0,6,155885256.87782204,0,226.89,1.575,3060.225,0.5,149321948.91500664,inf,971500,7093492063.4920635,2.480625,23230996.19620664,0.25,2.2297044427775852e+16,inf,943812250000,5.0317629654824894e+19,3.9069843749999995,437465113341.4119,0.125,3.3294381289999794e+24,inf,916913600875000000,3.569277066102333e+29,6.153500390624999,2.0435258341401104e+16,0.0625,4.9715819021421014e+32,inf,6738674701962014976,2.5318638540801135e+39,9.691763115234373,2.3679795972350605e+21,0.03125,7.423662988184344e+40,inf,2128405093647526912,1.7959756154759713e+49,3143.714285714286,864.4285714285714,26094.285714285714,23.142857142857142,0.001414285714285714,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.1590475324911388,0.2892083953065609,0.07442242417606482,1.9876543209876543,4.454545454545455,0.12091785956785817,0.23460692812305434,0.04163821624955881,1.7202445163610212,1.8541647014432605,5000
5471,1,1600.0,250,0.0,161127761,False,7,5102,0,28219,False,6,1,148458566,29090,871,150259.0,0.75,1600.0,0,3,161127761.0,0,226.89,0.0,0.0,0.04569548528605374,774936477.0,inf,154386149,inf,0.0,0.0,0.0020880773755279536,6.005265433851716e+17,inf,23835083003050201,inf,0.0,0.0,9.54157089895793e-05,4.6536992387589246e+26,inf,-5172119526698948579,inf,0.0,0.0,4.360067126191707e-06,3.606321293101423e+35,inf,4528101648635308017,inf,0.0,0.0,1.9923538321109973e-07,2.794669917806101e+44,inf,7885705801129662613,inf,3143.714285714286,864.4285714285714,26094.285714285714,23.142857142857142,0.001414285714285714,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.7402981005180405,0.2892083953065609,1.0814245045439614,0.25925925925925924,0.0,1.323083219391504,0.23460692812305434,0.6050405892617405,0.22437971952535057,0.0,500
420,1,1600.0,1,0.0,46468890,False,4,260,0,1275,True,17,0,1113819536,1317,42,241992.08632138115,0.72,1600.0,0,0,155885256.87782204,0,226.89,0.0,0.0,0.002380952380952381,63577534.52988048,inf,535920,inf,0.0,0.0,5.668934240362813e-06,4042102896898144.5,inf,287210246400,inf,0.0,0.0,1.3497462477054318e-08,2.569869365008717e+23,inf,153921715250688000,inf,0.0,0.0,3.21368154215579e-11,1.6338595829112372e+31,inf,-4113860480401866752,inf,0.0,0.0,7.651622719418549e-14,1.038767640495153e+39,inf,-597199423949242368,inf,3143.714285714286,864.4285714285714,26094.285714285714,23.142857142857142,0.001414285714285714,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.13359992729255657,0.0011568335812262435,0.048861272309208365,0.7345679012345679,0.0,0.10157100203700085,0.0009384277124922174,0.027337139916677387,0.63574253865516,0.0,500
400,1,1600.0,50,0.0,46468890,False,4,260,0,1275,True,26,0,1113819536,1317,42,241992.08632138115,0.72,1600.0,0,0,155885256.87782204,0,226.89,0.0,0.0,0.125,63577534.52988048,inf,510400,inf,0.0,0.0,0.015625,4042102896898144.5,inf,260508160000,inf,0.0,0.0,0.001953125,2.569869365008717e+23,inf,132963364864000000,inf,0.0,0.0,0.000244140625,1.6338595829112372e+31,inf,-1070020591840395264,inf,0.0,0.0,3.0517578125e-05,1.038767640495153e+39,inf,-4205029092757602304,inf,3143.714285714286,864.4285714285714,26094.285714285714,23.142857142857142,0.001414285714285714,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.127238025992911,0.05784167906131218,0.048861272309208365,1.123456790123457,0.0,0.09673428765428653,0.04692138562461087,0.027337139916677387,0.9723121179431858,0.0,5000
3423,1,1550.0,200,0.0,930218,False,10,3304,0,4758,False,18,0,150902067,4854,96,241992.08632138115,0.8,1550.0,0,0,155885256.87782204,0,219.8,0.0,0.0,0.05842827928717499,804906595.2921647,inf,16286634,inf,0.0,0.0,0.003413863820460122,6.478746271448246e+17,inf,265254447049956,inf,0.0,0.0,0.00019946618875022623,5.214785603113214e+26,inf,3563982726978009960,inf,0.0,0.0,1.1654466184646581e-05,4.1974153249804545e+35,inf,1037771277060352784,inf,0.0,0.0,6.809504051794672e-07,3.378527278257173e+44,inf,8601146332454832288,inf,2471.6666666666665,150.33333333333334,4694.333333333333,35.0,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.384895482130816,1.3303769401330376,1.0135624511822765,0.5142857142857142,1.0,0.827803666601557,0.1876855424984435,0.10201577390082432,0.6731391585760518,0.0,500
4243,1,325.0,500,0.0,114055059,False,4,228,0,1311,True,39,0,170143011,1409,98,241992.08632138115,0.77,325.0,0,3,155885256.87782204,0,46.09,0.0,0.0,0.11784115012962526,55490612.76759628,inf,5566816,inf,0.0,0.0,0.01388653666387288,3079208105323319.5,inf,30989440377856,inf,0.0,0.0,0.0016364054517879895,1.7086714460334013e+23,inf,6491815863108861952,inf,0.0,0.0,0.0001928359005170857,9.481522555888827e+30,inf,4802164945528553472,inf,0.0,0.0,2.272400430321538e-05,5.261354965960567e+38,inf,5396204629656600576,inf,2500.0,250.5,7280.5,24.0,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.6972,1.996007984031936,0.18007005013391938,1.625,1.0,1.0261089562928443,0.4692138562461087,0.028109012102560043,1.4584681769147787,0.0,500
458,1,1530.0,50,0.0,78318277,False,7,1050,0,7995,False,39,2,1137181159,8423,428,450323.0,0.75,1530.0,0,0,78318277.0,0,216.97,0.0,0.0,0.1091703056768559,474897503.0,inf,3661710,inf,0.0,0.0,0.011918155641578155,2.25527638355635e+17,inf,13408120124100,inf,0.0,0.0,0.001301108694495432,1.071025123125781e+26,inf,-6243584681510443848,inf,0.0,0.0,0.00014204243389688123,5.08627156622701e+34,inf,-2835452790032751088,inf,0.0,0.0,1.550681592760712e-05,2.4154576663811055e+43,inf,-3507855993535787808,inf,519.5,50.0,4432.5,41.5,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.8816169393647738,1.0,1.8037225042301184,0.9397590361445783,1.0,0.11076075936415808,0.04692138562461087,0.17141994794810644,1.4584681769147787,0.0,250
581,1,1530.0,50,0.0,309177801,False,4,471,0,870,True,44,0,1018634853,901,31,241992.08632138115,0.77,1530.0,0,0,155885256.87782204,0,216.97,0.0,0.0,0.08605851979345955,114942424.7436919,inf,506051,inf,0.0,0.0,0.007406068829041269,1.3211761005959278e+16,inf,256087614601,inf,0.0,0.0,0.0006373553209157719,1.5185918451591176e+24,inf,129593393456450651,inf,0.0,0.0,5.4849855500496713e-05,1.745506288785861e+32,inf,2691169992852394321,inf,0.0,0.0,4.7202973752578926e-06,2.0063272523840978e+40,inf,1491323191931381939,inf,519.5,50.0,4432.5,41.5,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.118383060635226,1.0,0.19627749576988154,1.0602409638554218,1.0,0.14050655281785118,0.04692138562461087,0.01865357782549751,1.6454512765192375,0.0,250
5567,1,1290.0,250,0.0025,251212534,False,7,1142,0,7645,False,36,0,1098769948,7855,210,241992.08632138115,0.75,1290.0,0,0,155885256.87782204,0,182.93,0.625,4778.125,0.04490749056942698,278071424.66533864,inf,42559715,612859896000.0,0.390625,8918155.670166016,0.002016682709243173,7.73237172154111e+16,inf,1811329340881225,3.755972521251308e+23,0.244140625,6502084741.441649,9.056415974686425e-05,2.1501516206509135e+25,inf,717035010568647611,2.3018849287529343e+35,0.152587890625,1851783612680.4878,4.067009149760384e-06,5.978957244008863e+33,inf,6485548518539761361,1.410732958039491e+47,0.095367431640625,206009800879726.06,1.826391750386377e-07,1.6625771588546912e+42,inf,880742601150473043,8.645816539478547e+58,1755.5,63.25,55914.75,29.25,0.0008500000000000001,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,3.171176303047565,3.952569169960474,0.136725998059546,1.2307692307692308,2.941176470588235,1.3462994484285329,0.23460692812305434,0.16391563502980283,1.3462783171521036,0.7357796434298652,500
1670,1,299.0,500,0.009,164356829,False,4,13365,0,75046,False,47,2,148807580,78759,3713,160696.0,0.87,299.0,0,0,164356829.0,0,42.4,4.5,337707.0,0.2994011976047904,2151859170.0,inf,125326820,654484504444.4445,20.25,2309431861442.25,0.08964107712718275,4.630497887513089e+18,inf,15706811811312400,4.2834996655789e+23,91.125,3.19812379765754e+20,0.0268386458464619,9.96417934091067e+27,inf,-4176943470553478592,2.8034841559143503e+35,410.0625,8.968305968109842e+29,0.008035522708521526,2.144151068626318e+37,inf,7451815924682678528,1.8348369385014553e+47,1845.28125,5.092729268110423e+40,0.0024058451223118336,4.613911138888841e+46,inf,5048061874233893888,1.2008723444314864e+59,3453.0,408.3333333333333,67763.16666666667,36.5,0.003283333333333333,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.48363741673906746,1.2244897959183674,1.1074748080938759,1.2876712328767124,2.7411167512690358,0.4038656509566463,0.4692138562461087,1.6090533350486047,1.7576411362819129,2.6488067163475146,500
3924,1,299.0,250,0.0,559982566,False,7,2784,0,18278,False,24,1,1102675357,18877,599,423341.0,0.85,299.0,0,0,559982566.0,0,42.4,0.0,0.0,0.063710499490316,1179837400.0,inf,71722872,inf,0.0,0.0,0.004059027745305555,1.39201629043876e+18,inf,5144170367928384,inf,0.0,0.0,0.00025860268509846806,1.6423528808689116e+27,inf,1344626855648927232,inf,0.0,0.0,1.64757062371603e-05,1.9377093528468862e+36,inf,-499086736527978496,inf,0.0,0.0,1.0496754738251974e-06,2.286181964818553e+45,inf,-8799116467466960896,inf,3453.0,408.3333333333333,67763.16666666667,36.5,0.003283333333333333,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.1364031277150304,0.6122448979591837,0.2697335573160443,0.6575342465753424,0.0,0.9489633618885509,0.23460692812305434,0.39189666148786606,0.8975188781014023,0.0,500
186,1,514.0,1,0.0,77061578,False,7,1969,0,12571,True,40,0,182751380,12920,349,241992.08632138115,0.83,514.0,0,0,155885256.87782204,0,72.89,0.0,0.0,0.005376344086021506,477736990.05312085,inf,2338392,inf,0.0,0.0,2.890507573129842e-05,2.2823263166501568e+17,inf,5468077145664,inf,0.0,0.0,1.5540363296397002e-07,1.090351704835472e+26,inf,-5660236220906019328,inf,0.0,0.0,8.355034030320969e-10,5.209013415673872e+34,inf,1370458987998416896,inf,0.0,0.0,4.491953779742457e-12,2.488538390350362e+43,inf,-8727085671481769984,inf,186.0,1.0,12571.0,40.0,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.0,1.0,1.0,1.0,1.0,0.044981443759243234,0.0009384277124922174,0.2695334791314129,1.4958647968356706,0.0,250
3134,1,199.99,50,0.0036,215060007,False,4,4236,0,39664,True,50,1,281518772,41075,1411,250048.0,0.87,199.99,1,0,215060007.0,0,28.36,0.18,7139.7,0.01595405232929164,1060300733.63,0.87,124310110,1726529305555.5557,0.0324,1651600.241316,0.00025453178572577595,1.1242376457363162e+18,0.7569,15453003448212100,2.980903442942149e+24,0.0058319999999999995,12378696.691811731,4.060813428937076e-06,1.19203000054868e+27,0.658503,-5582382192412752776,5.146617151271074e+36,0.0010497599999999998,3006006.5055276975,6.478642994475234e-08,1.2639102840907348e+36,0.57289761,8274995115071706128,8.88578533614436e+48,0.00018895679999999997,23651.022469834465,1.0336060935665655e-09,1.3401250014639079e+45,0.4984209207,6758857776966565344,1.534156878572906e+61,1132.3333333333333,67.0,14983.666666666666,28.0,0.0012,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,2.7677362378569326,0.746268656716418,2.6471491179284112,1.7857142857142858,3.0,0.757913143771335,0.04692138562461087,0.8504316216902681,1.8698309960445882,1.059522686539006,500
1,1,800.0,1,0.0,30250562,False,4,61,0,61,True,6,0,145865118,61,0,241992.08632138115,0.57,800.0,0,0,155885256.87782204,3,113.45,0.0,0.0,1.0,15053109.351925632,inf,62,inf,0.0,0.0,1.0,226596101161030.9,inf,3844,inf,0.0,0.0,1.0,3.410975889497001e+21,inf,238328,inf,0.0,0.0,1.0,5.1345793061380155e+28,inf,14776336,inf,0.0,0.0,1.0,7.729138377142998e+35,inf,916132832,inf,13.166666666666666,1.0,942.3333333333334,29.166666666666668,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.0759493670886076,1.0,0.06473293243721259,0.2057142857142857,1.0,0.0002418357191357163,0.0009384277124922174,0.0013078945371900552,0.22437971952535057,0.0,500
2758,1,550.0,500,0.0053,447971934,False,4,8891,0,51229,True,6,1,1052388718,53262,2033,374050.0,0.87,550.0,0,0,447971934.0,0,77.99,2.65,135759.5,0.18129079042784627,3330943200.0,inf,141292340,159953592452.8302,7.0225,129429182323.15561,0.03286635069395327,1.109518260162624e+19,inf,19963525342675600,2.55851517385661e+22,18.609624999999998,8.665346491826612e+17,0.0059583666957855825,3.6957423039645233e+28,inf,1574005009847301440,4.0924369340344216e+33,49.31550624999999,4.074097390326872e+25,0.0010801970079379229,1.2310307696342961e+38,inf,569946297092444416,6.545999894854519e+44,130.68609156249997,1.3451435322961794e+34,0.00019582976938686058,4.100493571104125e+47,inf,6097676504791544832,1.047056199377829e+56,5283.25,1500.25,38464.25,18.75,0.0027,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.5220271613116926,0.3332777870354941,1.3318601038626776,0.32,1.9629629629629628,0.6669829133763057,0.4692138562461087,1.098395561405071,0.22437971952535057,1.5598528440713144,5000
139,1,4699.0,17,0.0004,323800888,True,7,7050,0,70555,False,3,0,953092959,72980,2425,241992.08632138115,0.8071538461538463,4699.0,0,3,155885256.87782204,0,666.36,0.0068000000000000005,479.77400000000006,0.1223021582733813,1739418849.6520586,inf,9807145,73553587500.0,4.6240000000000005e-05,10.643666131354243,0.01495781791832721,3.0255779345248906e+18,inf,96180093051025,5.410130234120156e+21,3.1443200000000005e-07,1.0918515700758477e-05,0.0018293734144716732,5.262747290403937e+27,inf,2468170905707441209,3.979344875617524e+32,2.1381376000000007e-09,5.179093935633539e-16,0.00022373631687783052,9.154121837883904e+36,inf,3063996972142432801,2.9269509150141016e+43,1.4539335680000006e-11,1.1359567555521924e-30,2.7363434438295822e-05,1.592285207682681e+46,inf,-981180333196891063,2.152877402356948e+54,3287.0,1103.8,69477.6,22.0,0.00194,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.04228780042592029,0.015401340822612793,1.0155071562633136,0.13636363636363635,0.20618556701030927,0.033615164959864566,0.015953271112367697,1.5127622798597435,0.11218985976267529,0.11772474294877845,500
